回,セット球,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス,奇数偶数(本),合計(本),奇数偶数(全),合計(全)
1924,A,7,16,18,25,26,27,17,3：3,119,4：3,136
1925,G,5,9,11,18,34,37,22,4：2,114,4：3,136
1926,C,10,13,18,24,34,37,1,2：4,136,3：4,137
1927,D,2,11,18,26,32,36,10,1：5,125,1：6,135
1928,E,2,18,20,24,26,29,22,1：5,119,1：6,141
1929,J,7,10,12,20,40,43,4,2：4,132,2：5,136
1930,I,5,10,19,23,29,37,11,5：1,123,6：1,134
1931,B,9,23,27,30,33,41,4,5：1,163,5：2,167
1932,H,1,5,16,20,24,31,29,3：3,97,4：3,126
1933,J,3,7,9,10,12,30,16,3：3,71,3：4,87
1934,F,6,13,16,20,27,41,30,3：3,123,3：4,153
1935,A,3,8,12,14,17,40,2,2：4,94,2：5,96
1936,F,1,6,19,29,33,35,26,5：1,123,5：2,149
1937,D,1,9,26,28,31,38,8,3：3,133,3：4,141
1938,I,5,9,14,32,39,41,24,4：2,140,4：3,164
1939,H,10,22,26,27,29,37,41,3：3,151,4：3,192
1940,C,2,14,15,25,26,42,9,2：4,124,3：4,133
1941,E,2,12,13,21,23,43,39,4：2,114,5：2,153
1942,J,1,16,18,26,27,35,29,3：3,123,4：3,152
1943,B,10,11,17,25,34,38,9,3：3,135,4：3,144
1944,I,6,11,21,33,39,42,18,4：2,152,4：3,170
1945,D,1,2,4,14,27,43,41,3：3,91,4：3,132
1946,F,8,9,11,27,36,38,18,3：3,129,3：4,147
1947,G,10,24,30,36,37,41,5,2：4,178,3：4,183
1948,A,18,29,30,38,39,43,40,3：3,197,3：4,237
1949,C,12,13,17,28,37,43,27,4：2,150,5：2,177
1950,H,9,20,26,28,30,42,6,1：5,155,1：6,161
1951,J,1,3,6,23,28,35,14,4：2,96,4：3,110
1952,I,24,25,31,32,34,40,12,2：4,186,2：5,198
1953,E,19,23,29,33,36,40,27,4：2,180,5：2,207
1954,B,2,10,15,25,35,37,22,4：2,124,4：3,146
1955,D,11,19,26,28,29,36,1,3：3,149,4：3,150
1956,F,2,19,21,24,35,42,17,3：3,143,4：3,160
1957,G,3,4,5,13,34,42,18,3：3,101,3：4,119
1958,C,1,15,16,20,21,25,19,4：2,98,5：2,117
1959,H,19,20,36,40,41,43,22,3：3,199,3：4,221
1960,A,10,22,27,28,31,32,8,2：4,150,2：5,158
1961,J,11,12,27,28,38,43,10,3：3,159,3：4,169
1962,I,4,8,19,22,32,37,26,2：4,122,2：5,148
1963,B,3,4,20,29,35,38,6,3：3,129,3：4,135
1964,J,2,5,28,33,35,36,34,3：3,139,3：4,173
1965,E,17,18,20,23,33,43,19,4：2,154,5：2,173
1966,D,4,12,25,29,34,36,32,2：4,140,2：5,172
1967,F,3,4,22,26,29,35,37,3：3,119,4：3,156
1968,G,6,13,15,22,35,41,37,4：2,132,5：2,169
1969,C,3,7,12,13,35,38,24,4：2,108,4：3,132
1970,H,11,26,27,31,36,37,42,4：2,168,4：3,210
1971,I,2,6,9,26,32,36,23,1：5,111,2：5,134
1972,H,3,14,27,28,32,36,12,2：4,140,2：5,152
1973,A,7,10,14,27,28,32,4,2：4,118,2：5,122
1974,B,2,6,13,21,24,30,43,2：4,96,3：4,139
1975,J,11,13,15,20,35,42,19,4：2,136,5：2,155
1976,I,4,6,22,30,33,36,2,1：5,131,1：6,133
1977,E,4,14,20,28,29,34,30,1：5,129,1：6,159
1978,D,23,25,26,30,34,35,12,3：3,173,3：4,185
1979,C,15,18,19,21,37,40,17,4：2,150,5：2,167
1980,D,1,2,13,19,35,41,3,5：1,111,6：1,114
1981,F,5,10,15,17,29,41,30,5：1,117,5：2,147
1982,G,20,21,23,28,32,34,6,2：4,158,2：5,164
1983,E,3,18,31,36,37,40,23,3：3,165,4：3,188
1984,H,4,19,28,29,34,40,3,2：4,154,3：4,157
1985,J,1,30,36,37,41,43,33,4：2,188,5：2,221
1986,I,14,20,29,31,41,42,24,3：3,177,3：4,201
1987,A,8,12,25,28,32,42,27,1：5,147,2：5,174
1988,B,6,20,23,24,33,35,27,3：3,141,4：3,168
1989,C,15,17,23,29,35,43,8,6：0,162,6：1,170
1990,D,6,9,15,19,24,40,30,3：3,113,3：4,143
1991,J,1,5,12,16,17,40,4,3：3,91,3：4,95
1992,E,9,11,18,21,27,34,13,4：2,120,5：2,133
1993,F,7,12,13,35,37,42,31,4：2,146,5：2,177
1994,G,10,11,13,16,24,26,12,2：4,100,2：5,112
1995,I,2,4,8,26,27,37,19,2：4,104,3：4,123
1996,C,6,17,26,28,33,34,20,2：4,144,2：5,164
1997,H,5,16,17,28,36,40,14,2：4,142,2：5,156
1998,A,1,4,6,9,20,43,21,3：3,83,4：3,104
1999,B,17,31,34,35,36,38,2,3：3,191,3：4,193
2000,E,1,2,16,21,25,35,22,4：2,100,4：3,122
2001,D,13,21,24,26,34,36,20,2：4,154,2：5,174
2002,J,1,17,19,23,36,42,15,4：2,138,5：2,153
2003,I,1,5,10,13,35,40,39,4：2,104,5：2,143
2004,G,16,18,25,27,31,36,7,3：3,153,4：3,160
2005,H,3,7,18,27,33,34,6,4：2,122,4：3,128
2006,F,4,7,19,22,26,28,33,2：4,106,3：4,139
2007,C,6,18,23,24,30,35,38,2：4,136,2：5,174
2008,A,5,8,9,17,22,36,30,3：3,97,3：4,127
