回,セット球,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス,奇数偶数(本),合計(本),奇数偶数(全),合計(全)
1241,J,4,7,15,17,23,25,8,5：1,91,5：2,99
1242,I,12,22,28,34,37,42,33,1：5,175,2：5,208
1243,B,23,24,32,37,41,42,29,3：3,199,4：3,228
1244,G,10,15,17,18,20,41,35,3：3,121,4：3,156
1245,E,13,15,27,30,31,39,8,5：1,155,5：2,163
1246,C,4,10,11,23,36,37,34,3：3,121,3：4,155
1247,H,4,7,17,18,26,36,35,2：4,108,3：4,143
1248,F,2,6,14,28,34,37,3,1：5,121,2：5,124
1249,D,5,8,15,20,25,27,6,4：2,100,4：3,106
1250,A,3,10,18,22,23,40,27,2：4,116,3：4,143
1251,H,21,28,31,33,34,40,23,3：3,187,4：3,210
1252,J,4,15,18,19,22,29,37,3：3,107,4：3,144
1253,I,1,12,14,24,33,37,15,3：3,121,4：3,136
1254,B,7,8,11,15,36,39,37,4：2,116,5：2,153
1255,A,2,14,15,27,40,43,41,3：3,141,4：3,182
1256,G,2,5,16,32,35,41,25,3：3,131,4：3,156
1257,C,1,11,19,23,32,37,14,5：1,123,5：2,137
1258,E,8,14,20,25,31,41,35,3：3,139,4：3,174
1259,G,10,16,20,26,33,36,41,1：5,141,2：5,182
1260,J,3,8,16,19,25,26,32,3：3,97,3：4,129
1261,F,9,20,26,29,30,34,42,2：4,148,2：5,190
1262,D,4,11,15,20,24,43,10,3：3,117,3：4,127
1263,H,3,8,13,14,31,37,6,4：2,106,4：3,112
1264,A,1,6,27,33,35,43,15,5：1,145,6：1,160
1265,I,5,20,26,27,28,33,12,3：3,139,3：4,151
1266,D,3,12,16,23,25,28,17,3：3,107,4：3,124
1267,B,4,18,31,33,34,41,9,3：3,161,4：3,170
1268,G,8,11,15,22,35,36,30,3：3,127,3：4,157
1269,D,9,10,11,33,39,42,25,4：2,144,5：2,169
1270,J,9,10,24,30,35,40,38,2：4,148,2：5,186
1271,C,1,11,14,27,39,42,32,4：2,134,4：3,166
1272,H,4,9,13,32,37,38,42,3：3,133,3：4,175
1273,F,18,20,22,26,34,37,4,1：5,157,1：6,161
1274,G,3,15,18,23,31,37,34,5：1,127,5：2,161
1275,I,7,19,21,28,40,41,3,4：2,156,5：2,159
1276,A,5,6,9,11,16,35,22,4：2,82,4：3,104
1277,E,12,16,20,22,31,43,33,2：4,144,3：4,177
1278,B,3,4,18,28,34,36,6,1：5,123,1：6,129
1279,D,4,10,16,17,20,24,31,1：5,91,2：5,122
1280,J,1,9,11,21,29,36,7,5：1,107,6：1,114
1281,H,3,7,9,15,29,40,17,5：1,103,6：1,120
1282,C,1,4,10,11,24,28,29,2：4,78,3：4,107
1283,J,1,26,27,30,37,38,4,3：3,159,3：4,163
1284,F,4,14,17,21,24,39,7,3：3,119,4：3,126
1285,E,7,8,13,36,38,42,6,2：4,144,2：5,150
1286,G,11,32,37,39,41,42,43,4：2,202,5：2,245
1287,I,9,21,23,34,37,38,40,4：2,162,4：3,202
